Player Name,Photo,Nationship,Nation Image,Age,Date Born,Team,Team Image,Propietary Team,Competition,Position,2ª Position,Foot,Heigh,Profile Main Characteristic,Season,Contract End Date,Market Value (M),Matches Played,Minutes,Start Line UP %,Matches Index,Conditional index,Goal Involment Index,Passing Index,Technical Skills Index,Offensive Index,Defensive index,Performance Index,xPerformance Index,Scouting Index
Can Uzun,https://cdn.resfu.com/img_data/players/medium/976168.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,18,2005,Nürnberg,https://capology-e6a3.kxcdn.com/static/images/logos/de/nurnberg.svg,Nürnberg,Bundesliga 2,AMF,FW,Right,186,Technical Attacking Midfielder,2023-2024,2027,8.8,32,2186,85,80,76,90,70,70,86,65,65,80,70
Carlos Alcaraz ,https://cdn.resfu.com/img_data/players/medium/906871.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,21,2002,Juventus,https://capology-e6a3.kxcdn.com/static/images/logos/it/juventus.svg,Southampton,Serie A,CMF,AMF,Right,183,Box To Box Midfielder,2023-2024,2028,15.8,12,376,25,56,30,85,65,70,70,71,70,77,80
Carlos Forbs,https://cdn.resfu.com/img_data/players/medium/893763.jpg?size=180x&lossy=1,Portugal,https://capology-e6a3.kxcdn.com/static/images/flags/portugal.svg,20,2004,Ajax,https://capology-e6a3.kxcdn.com/static/images/logos/ne/ajax.svg,Ajax,Eredivisie,LW,RW,Left,170,Outside Left Winger,2023-2024,2028,11.1,32,1413,50,66,40,90,72,65,85,70,60,75,70
Castello Lukeba,https://cdn.resfu.com/img_data/players/medium/776745.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,21,2002,RB Leipzig,https://capology-e6a3.kxcdn.com/static/images/logos/de/leipzig.svg,RB Leipzig,Bundesliga,LCB,LCB,Left,184,Technical Left CenterBack,2023-2024,2028,35.0,41,2968,81,87,88,70,75,80,65,75,80,85,90
Cavan Sullivan,https://cdn.resfu.com/img_data/players/medium/3403716.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,14,2009,Philadelphia Union II,https://capology-e6a3.kxcdn.com/static/images/logos/us/philadelphia-union.svg,Philadelphia Union II,MLS,CMF,AMF,Left,170,Technical CentreMidfielder,2023-2024,2028,1.0,2,57,10,50,50,70,70,80,70,70,50,50,50
Chaka Traorè,https://cdn.resfu.com/img_data/players/medium/884423.jpg?size=180x&lossy=1,Costade Marfil,https://capology-e6a3.kxcdn.com/static/images/flags/cote-d-ivoire.svg,19,2004,Palermo FC,https://capology-e6a3.kxcdn.com/static/images/logos/it/palermo.svg, AC Milan ,Serie A,LW,RW,Right,175,Changed Leg Left Winger ,2023-2024,2028,1.0,12,221,25,71,95,90,75,60,90,66,50,68,60
Charles de Ketelaere ,https://cdn.resfu.com/img_data/players/medium/776333.jpg?size=180x&lossy=1,Belgium,https://capology-e6a3.kxcdn.com/static/images/flags/belgium.svg,23,2001,Atalanta,https://capology-e6a3.kxcdn.com/static/images/logos/it/atalanta.svg,AC Milan,Serie A,AMF,RW,Left,192,Technical Attacking Midfielder,2023-2024,2027,32.3,50,2939,75,67,90,70,76,80,72,80,80,84,90
Chido Obi,https://cdn.resfu.com/img_data/players/medium/3374028.jpg?size=180x&lossy=1,Denmark,https://capology-e6a3.kxcdn.com/static/images/flags/denmark.svg,16,2007,Arsenal U-18,https://capology-e6a3.kxcdn.com/static/images/logos/uk/arsenal.svg,Arsenal ,Premier League U18,FW,RW,Right,188, Combinative Centre Foward,2023-2024,2025,0.3,21,1633,86,75,81,95,80,50,95,60,40,60,50
Christos Tzolis,https://cdn.resfu.com/img_data/players/medium/813152.jpg?size=180x&lossy=1,Greece,https://capology-e6a3.kxcdn.com/static/images/flags/greece.svg,22,2002,Fortuna Düsseldorf,https://capology-e6a3.kxcdn.com/static/images/logos/de/dusseldorf.svg,Norwich City,Bundesliga 2,LW,RW,Right,179,Changed Leg Left Winger,2023-2024,2026,8.3,37,2944,92,70,50,75,87,80,72,70,77,85,90
Claudio Echeverri ,https://cdn.resfu.com/img_data/players/medium/3221609.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,18,2006,River Plate,https://capology-e6a3.kxcdn.com/static/images/logos/ar/river-plate.svg,Manchester City,Liga Profesional Argentina,AMF,CMF,Right,171,Technical Attacking Midfielder,2023-2024,2028,9.9,28,1533,71,68,50,99,80,70,91,77,65,78,70
Cole Palmer ,https://cdn.resfu.com/img_data/players/medium/675016.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,22,2002,Chelsea,https://capology-e6a3.kxcdn.com/static/images/logos/uk/chelsea.svg,Chelsea,Premier League,AMF,RW,Left,189,Technical Attacking Midfielder,2023-2024,2030,49.3,45,3583,89,70,83,98,81,87,85,73,89,91,100
Conor Bradley ,https://cdn.resfu.com/img_data/players/medium/878191.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2003,Liverpool,https://capology-e6a3.kxcdn.com/static/images/logos/uk/liverpool.svg,Liverpool,Premier League,RB,RWB,Right,181,Offensive Winger Back,2023-2024,2027,14.9,23,1474,74,83,50,80,75,75,83,81,73,85,90
Couhaib Driouech,https://cdn.resfu.com/img_data/players/medium/872073.jpg?size=180x&lossy=1,Morocco,https://capology-e6a3.kxcdn.com/static/images/flags/morocco.svg,22,2002,Excelsior,https://capology-e6a3.kxcdn.com/static/images/logos/ne/excelsior.svg,Excelsior,Eredivisie,LW,LMF,Right,175,Changed Leg Left Winger ,2023-2024,2025,3.2,33,2415,93,68,50,75,77,65,75,74,65,71,70
Cristhian Mosquera,https://cdn.resfu.com/img_data/players/medium/885921.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,19,2004,Valencia,https://capology-e6a3.kxcdn.com/static/images/logos/es/valencia.svg,Valencia,La Liga,RCB,RB,Right,191,Positional CenterBack,2023-2024,2026,12.2,38,3220,92,78,60,40,65,76,30,70,75,86,90
Crysencio Summerville,https://cdn.resfu.com/img_data/players/medium/427340.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,22,2001,Leeds United,https://capology-e6a3.kxcdn.com/static/images/logos/uk/leeds.svg,Leeds United,Premier League,LW,RW,Right,174,Changed Leg Left Winger ,2023-2024,2026,16.3,46,3627,91,80,60,70,82,80,61,71,77,82,90
Daan Huijsen,https://cdn.resfu.com/img_data/players/medium/3192199.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,19,2005,Roma,https://capology-e6a3.kxcdn.com/static/images/logos/it/roma.svg,Juventus,Serie A,RCB,LCB,Both,197,Technical CenterBack ,2023-2024,2028,5.9,14,583,36,87,80,90,82,66,88,72,60,77,70
Daniel Maldini,https://cdn.resfu.com/img_data/players/medium/693369.jpg?size=180x&lossy=1,Italy,https://capology-e6a3.kxcdn.com/static/images/flags/italy.svg,22,2001,Monza,https://capology-e6a3.kxcdn.com/static/images/logos/it/monza.svg,AC Milan,Serie A,AMF,CMF,Right,188,Attacking Left Midfielder,2023-2024,2024,3.1,11,326,20,60,50,90,65,65,80,74,60,70,70
